ticker,codigo,operadora,tema
+HAYEK+E10F.MX,+HAYEK+E10F,Compass/Vinci,Clave opaca (sin tema en la clave)
+HAYEK+F10.MX,+HAYEK+F10,Compass/Vinci,Clave opaca (sin tema en la clave)
+TASAAHO1.MX,+TASAAHO1,Intercam,Mercado de dinero / liquidez
+TASAAHO2.MX,+TASAAHO2,Intercam,Mercado de dinero / liquidez
+TASAFF.MX,+TASAFF,Intercam,Deuda (generica / plazo n/d)
+TASAFG.MX,+TASAFG,Intercam,Deuda (generica / plazo n/d)
+TASAG1.MX,+TASAG1,Intercam,Deuda (generica / plazo n/d)
+TASALPAHO1.MX,+TASALPAHO1,Intercam,Mercado de dinero / liquidez
+TASALPAHO2.MX,+TASALPAHO2,Intercam,Mercado de dinero / liquidez
+TASALPF1.MX,+TASALPF1,Intercam,Deuda largo plazo
+TASALPF2.MX,+TASALPF2,Intercam,Deuda largo plazo
+TASALPF3.MX,+TASALPF3,Intercam,Deuda largo plazo
+TASAMEG.MX,+TASAMEG,Intercam,Deuda (generica / plazo n/d)
+TASAMG.MX,+TASAMG,Intercam,Deuda (generica / plazo n/d)
+TASAPRA.MX,+TASAPRA,Intercam,Deuda (generica / plazo n/d)
+TASAPRAHO1.MX,+TASAPRAHO1,Intercam,Mercado de dinero / liquidez
+TASAPRAHO2.MX,+TASAPRAHO2,Intercam,Mercado de dinero / liquidez
+TASAPRAHO3.MX,+TASAPRAHO3,Intercam,Mercado de dinero / liquidez
+TASAPRF1.MX,+TASAPRF1,Intercam,Deuda (generica / plazo n/d)
+TASAPRF2.MX,+TASAPRF2,Intercam,Deuda (generica / plazo n/d)
+TASAPRM1.MX,+TASAPRM1,Intercam,Deuda (generica / plazo n/d)
+TASAPRM2.MX,+TASAPRM2,Intercam,Deuda (generica / plazo n/d)
+TASAPRME1.MX,+TASAPRME1,Intercam,Deuda (generica / plazo n/d)
+TASAPRME2.MX,+TASAPRME2,Intercam,Deuda (generica / plazo n/d)
+TASAPRMEG.MX,+TASAPRMEG,Intercam,Deuda (generica / plazo n/d)
+VALORA.MX,+VALORA,Compass/Vinci,Clave opaca (sin tema en la clave)
+VALORB-1.MX,+VALORB-1,Compass/Vinci,Clave opaca (sin tema en la clave)
+VALORB-2.MX,+VALORB-2,Compass/Vinci,Clave opaca (sin tema en la clave)
+VALORE.MX,+VALORE,Compass/Vinci,Clave opaca (sin tema en la clave)
+VALORM.MX,+VALORM,Compass/Vinci,Clave opaca (sin tema en la clave)
